COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,STATE CODE,LOCALITY ID,LATITUDE,LONGITUDE,OBSERVATION DATE,Year,Month,Day,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L1004838,-12.87021,-71.37564,2002-07-13,27,,,,obsr18062,S15813098,eBird - Casual Observation,,,1,0,
Plain Tyrannulet,Inezia inornata,X,BO-S,L831297,-17.7664245,-63.0697632,2001-10-03,27,,,05:00:00,obsr24607,S7167409,eBird - Casual Observation,,,8,1,
Plain Tyrannulet,Inezia inornata,1,BO-S,L831297,-17.7664245,-63.0697632,2001-05-13,27,,,02:00:00,obsr37316,S17632218,eBird - Casual Observation,,,5,1,G841659
Plain Tyrannulet,Inezia inornata,X,AR-A,L2761541,-24.6931288,-64.6356239,2000-10-29,27,,,,obsr352910,S25227991,Historical,,,10,1,
Plain Tyrannulet,Inezia inornata,3,BO-S,L1008518,-19.4458,-63.52892,2001-06-02,27,,,07:00:00,obsr37316,S17692147,eBird - Casual Observation,,,3,1,G845846
Plain Tyrannulet,Inezia inornata,X,BO-B,L604843,-14.849059,-64.889001,1985-04-22,27,,,07:00:00,obsr18893,S4207421,eBird - Traveling Count,240,5,2,1,
Plain Tyrannulet,Inezia inornata,X,BO-B,L604843,-14.849059,-64.889001,1985-04-21,27,,,07:30:00,obsr18893,S4207420,eBird - Traveling Count,210,5,2,1,
Plain Tyrannulet,Inezia inornata,1,BO-S,L586514,-13.5559,-61.0096,1998-07-11,27,,,,obsr199722,S18752694,Historical,,,6,1,
Plain Tyrannulet,Inezia inornata,2,BO-S,L586514,-13.5559,-61.0096,1998-07-12,27,,,,obsr199722,S18752624,Historical,,,6,1,
Plain Tyrannulet,Inezia inornata,X,AR-A,L847524,-25.1272576,-64.1168976,2000-10-28,27,,,,obsr352910,S25214451,Historical,,,10,1,
Plain Tyrannulet,Inezia inornata,2,BO-S,L1008532,-17.56043,-63.19918,2001-06-03,27,,,07:00:00,obsr37316,S17692414,eBird - Casual Observation,,,2,1,
Plain Tyrannulet,Inezia inornata,X,BO-S,L677944,-18.0544784,-63.8415527,2001-10-04,27,,,05:00:00,obsr24607,S7167406,eBird - Casual Observation,,,8,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L599450,-12.35545,-70.7064,2002-08-09,27,,,07:00:00,obsr59502,S12219541,eBird - Casual Observation,,,14,1,G498817
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L608879,-12.836473,-69.294167,1985-05-11,27,,,06:00:00,obsr18893,S4236624,eBird - Traveling Count,570,9.656,2,1,
Plain Tyrannulet,Inezia inornata,X,BR-MT,L891932,-16.3786111,-56.6208333,2002-10-16,27,,,00:00:00,obsr220224,S6537567,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,2,BR-MT,L3681255,-17,-57,1990-06-21,27,,,,obsr429137,S30358359,Historical,,,,1,
Plain Tyrannulet,Inezia inornata,X,AR-A,L3681094,-25.2166667,-64.9333333,2001-10-08,27,,,,obsr429137,S23687946,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,X,AR-A,L3681094,-25.2166667,-64.9333333,2001-10-09,27,,,,obsr429137,S23687947,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-10-30,27,,,04:30:00,obsr235798,S10098330,eBird - Traveling Count,750,8.047,1,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L481850,-13.0774718,-69.5805359,1988-07-15,27,,,,obsr429137,S25424300,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,X,BR-MS,L5007369,-19.5762176,-57.0190483,1992-10-18,27,,,,obsr118494,S35036840,Historical,,,10,1,
Plain Tyrannulet,Inezia inornata,1,BR-RO,L3172427,-9.7333333,-61.8666667,1986-07-06,27,,,08:15:00,obsr34033,S32793634,Historical,,,1,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L2372696,-12.6322981,-71.2401581,2002-07-22,27,,,06:00:00,obsr543821,S20600205,eBird - Traveling Count,720,10,4,1,
Plain Tyrannulet,Inezia inornata,X,AR-P,L1007154,-26.343422,-58.2221639,2004-09-21,27,,,08:00:00,obsr423266,S18520254,eBird - Traveling Count,180,10,3,1,G912772
Plain Tyrannulet,Inezia inornata,X,BR-MT,L875085,-16.7842068,-56.844017,1997-08-06,27,,,,obsr200162,S5824483,eBird - Casual Observation,,,,1,
Plain Tyrannulet,Inezia inornata,X,BR-MT,L875085,-16.7842068,-56.844017,1997-08-05,27,,,,obsr200162,S5824482,eBird - Casual Observation,,,,1,
Plain Tyrannulet,Inezia inornata,X,BR-MT,L875085,-16.7842068,-56.844017,1997-08-07,27,,,,obsr200162,S5824484,eBird - Casual Observation,,,,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L803960,-12.7717,-71.3855,2001-10-01,27,,,05:45:00,obsr34033,S5545364,eBird - Traveling Count,345,6.437,1,1,
Plain Tyrannulet,Inezia inornata,1,AR-Y,L756209,-23.7608379,-64.8495054,2002-09-09,27,,,09:00:00,obsr423266,S15627905,eBird - Traveling Count,360,20,2,1,G735736
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L1004838,-12.87021,-71.37564,2002-08-14,27,,,07:00:00,obsr59502,S12238486,eBird - Casual Observation,,,14,1,G499952
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L1004838,-12.87021,-71.37564,2002-07-26,27,,,06:00:00,obsr543821,S20603257,eBird - Traveling Count,600,8,3,1,
Plain Tyrannulet,Inezia inornata,X,AR-A,L847524,-25.1272576,-64.1168976,2004-11-20,27,,,06:00:00,obsr543821,S20588310,eBird - Traveling Count,720,10,8,1,
Plain Tyrannulet,Inezia inornata,X,AR-P,L2761695,-25.044,-58.1423333,2004-09-23,27,,,07:00:00,obsr423266,S18521027,eBird - Traveling Count,960,20,3,1,G912771
Plain Tyrannulet,Inezia inornata,2,BO-S,L4800837,-19.7702427,-62.6998329,2003-05-23,27,,,07:20:00,obsr212296,S30769521,eBird - Traveling Count,365,3.219,1,1,
Plain Tyrannulet,Inezia inornata,2,BO-S,L4800837,-19.7702427,-62.6998329,2003-03-16,27,,,,obsr212296,S30766355,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,X,BR-MT,L295221,-12.2814636,-55.1162528,2000-09-15,27,,,,obsr649861,S28671084,eBird - Casual Observation,,,1,0,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L803902,-12.7717,-71.3855,2001-09-18,27,,,05:20:00,obsr34033,S5545143,eBird - Traveling Count,555,7.242,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L803902,-12.7717,-71.3855,2001-09-29,27,,,05:10:00,obsr34033,S5545124,eBird - Traveling Count,590,9.656,1,1,
Plain Tyrannulet,Inezia inornata,4,PE-MDD,L803902,-12.7717,-71.3855,2001-09-17,27,,,05:10:00,obsr34033,S5545142,eBird - Traveling Count,495,8.047,1,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L803902,-12.7717,-71.3855,2001-09-14,27,,,05:20:00,obsr34033,S5545139,eBird - Traveling Count,410,4.828,1,1,
Plain Tyrannulet,Inezia inornata,2,BO-S,L4800950,-19.5910571,-62.5618172,2003-03-16,27,,,,obsr212296,S30766430,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,X,AR-P,L1007154,-26.343422,-58.2221639,2004-09-10,27,,,,obsr228451,S31607108,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,X,AR-P,L1007154,-26.343422,-58.2221639,2004-12-10,27,,,,obsr228451,S31607111,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,X,AR-P,L1007154,-26.343422,-58.2221639,2004-11-10,27,,,,obsr228451,S31607110,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,X,AR-P,L1007154,-26.343422,-58.2221639,2004-10-10,27,,,,obsr228451,S31607109,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,1,BO-S,L1325415,-19.1365667,-63.2815067,1990-09-04,27,,,08:00:00,obsr106511,S9219722,eBird - Casual Observation,,,5,1,
